"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2023-12-28 16:23:22";"Afternoon Workout";"167";"Bench Press (Barbell)";"1";"61.23496995";"10";"";"";"";"";""
"1";"2023-12-28 16:23:22";"Afternoon Workout";"167";"Bench Press (Barbell)";"2";"83.91458845000001";"2";"";"";"";"";""
"1";"2023-12-28 16:23:22";"Afternoon Workout";"167";"Squat (Barbell)";"1";"74.84274105";"10";"";"";"";"";""
"1";"2023-12-28 16:23:22";"Afternoon Workout";"167";"Bicep Curl (Dumbbell)";"1";"13.6077711";"10";"";"";"";"";""
"2";"2024-01-03 14:10:20";"Afternoon Workout";"1143";"Bench Press (Dumbbell)";"1";"22.6796185";"12";"";"";"";"";""
"2";"2024-01-03 14:10:20";"Afternoon Workout";"1143";"Bench Press (Dumbbell)";"2";"24.947580350000003";"12";"";"";"";"";""
"2";"2024-01-03 14:10:20";"Afternoon Workout";"1143";"Bench Press (Dumbbell)";"3";"27.2155422";"12";"";"";"";"";""
"2";"2024-01-03 14:10:20";"Afternoon Workout";"1143";"Bent Over One Arm Row (Dumbbell)";"1";"27.2155422";"10";"";"";"";"";""
"2";"2024-01-03 14:10:20";"Afternoon Workout";"1143";"Bent Over One Arm Row (Dumbbell)";"2";"27.2155422";"10";"";"";"";"";""
"2";"2024-01-03 14:10:20";"Afternoon Workout";"1143";"Bent Over One Arm Row (Dumbbell)";"3";"27.2155422";"10";"";"";"";"";""
"2";"2024-01-03 14:10:20";"Afternoon Workout";"1143";"Deadlift (Dumbbell)";"1";"27.2155422";"10";"";"";"";"";""
"2";"2024-01-03 14:10:20";"Afternoon Workout";"1143";"Deadlift (Dumbbell)";"2";"27.2155422";"10";"";"";"";"";""
"2";"2024-01-03 14:10:20";"Afternoon Workout";"1143";"Deadlift (Dumbbell)";"3";"27.2155422";"10";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Bench Press (Barbell)";"1";"70.30681735";"10";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Bench Press (Barbell)";"2";"74.84274105";"10";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Bench Press (Barbell)";"3";"83.91458845000001";"5";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Bench Press (Barbell)";"4";"83.91458845000001";"3";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Bench Press (Barbell)";"5";"83.91458845000001";"2";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Squat (Barbell)";"1";"43.09127515";"10";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Squat (Barbell)";"2";"52.163122550000004";"10";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Squat (Barbell)";"3";"61.23496995";"10";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Shrug (Dumbbell)";"1";"24.947580350000003";"15";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Shrug (Dumbbell)";"2";"27.2155422";"15";"";"";"";"";""
"3";"2024-01-08 15:29:41";"Afternoon Workout";"1720";"Shrug (Dumbbell)";"3";"29.48350405";"15";"";"";"";"";""
"4";"2024-01-10 16:53:17";"Afternoon Workout";"9393";"Incline Bench Press (Dumbbell)";"1";"22.6796185";"12";"";"";"";"";""
"4";"2024-01-10 16:53:17";"Afternoon Workout";"9393";"Incline Bench Press (Dumbbell)";"2";"24.947580350000003";"12";"";"";"";"";""
"4";"2024-01-10 16:53:17";"Afternoon Workout";"9393";"Incline Bench Press (Dumbbell)";"3";"27.2155422";"12";"";"";"";"";""
"4";"2024-01-10 16:53:17";"Afternoon Workout";"9393";"Lunge (Dumbbell)";"1";"22.6796185";"10";"";"";"";"";""
"4";"2024-01-10 16:53:17";"Afternoon Workout";"9393";"Lunge (Dumbbell)";"2";"22.6796185";"10";"";"";"";"";""
"4";"2024-01-10 16:53:17";"Afternoon Workout";"9393";"Lunge (Dumbbell)";"3";"22.6796185";"10";"";"";"";"";""
"4";"2024-01-10 16:53:17";"Afternoon Workout";"9393";"Triceps Extension (Dumbbell)";"1";"13.6077711";"10";"";"";"";"";""
"4";"2024-01-10 16:53:17";"Afternoon Workout";"9393";"Triceps Extension (Dumbbell)";"2";"18.143694800000002";"10";"";"";"";"";""
"4";"2024-01-10 16:53:17";"Afternoon Workout";"9393";"Triceps Extension (Dumbbell)";"3";"22.6796185";"10";"";"";"";"";""
"5";"2024-01-22 14:32:01";"Afternoon Workout";"1915";"Bench Press (Barbell)";"1";"61.23496995";"15";"";"";"";"";""
"5";"2024-01-22 14:32:01";"Afternoon Workout";"1915";"Bench Press (Barbell)";"2";"70.30681735";"10";"";"";"";"";""
"5";"2024-01-22 14:32:01";"Afternoon Workout";"1915";"Bench Press (Barbell)";"3";"79.37866475";"9";"";"";"";"";""
"5";"2024-01-22 14:32:01";"Afternoon Workout";"1915";"Bench Press (Barbell)";"4";"79.37866475";"3";"";"";"";"";""
"5";"2024-01-22 14:32:01";"Afternoon Workout";"1915";"Squat (Barbell)";"1";"43.09127515";"10";"";"";"";"";""
"5";"2024-01-22 14:32:01";"Afternoon Workout";"1915";"Squat (Barbell)";"2";"52.163122550000004";"10";"";"";"";"";""
"5";"2024-01-22 14:32:01";"Afternoon Workout";"1915";"Squat (Barbell)";"3";"65.77089365";"10";"";"";"";"";""
"5";"2024-01-22 14:32:01";"Afternoon Workout";"1915";"Bicep Curl (Barbell)";"1";"29.48350405";"10";"";"";"";"";""
