"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Afternoon workout 💪","3 Apr 2026, 17:09","3 Apr 2026, 17:22","","Incline Chest/ Shrug Combo",,"",0,"normal",100,20,,,
"Afternoon workout 💪","3 Apr 2026, 17:09","3 Apr 2026, 17:22","","Incline Chest/ Shrug Combo",,"",1,"normal",100,20,,,
"Afternoon workout 💪","3 Apr 2026, 17:09","3 Apr 2026, 17:22","","Incline Chest/ Shrug Combo",,"",2,"normal",100,20,,,
"Afternoon workout 💪","3 Apr 2026, 17:09","3 Apr 2026, 17:22","","Incline Chest/ Shrug Combo",,"",3,"normal",100,20,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Hex Squat",0,"",0,"normal",155,12,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Hex Squat",0,"",1,"normal",205,8,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Hex Squat",0,"",2,"normal",205,8,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Hex Squat",0,"",3,"normal",225,8,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Hex Squat",0,"",4,"normal",225,8,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Hex Squat",0,"",5,"normal",225,8,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Walking Lunge",0,"",0,"normal",,10,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Walking Lunge",0,"",1,"normal",,10,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Walking Lunge",0,"",2,"normal",,10,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Iso-Lateral Row (Machine)",,"",0,"normal",200,8,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Iso-Lateral Row (Machine)",,"",1,"normal",200,8,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Iso-Lateral Row (Machine)",,"",2,"normal",200,8,,,
"Afternoon workout 💪","2 Apr 2026, 14:59","2 Apr 2026, 15:23","","Iso-Lateral Row (Machine)",,"",3,"normal",220,8,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",0,"normal",135,12,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",1,"normal",185,5,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",2,"normal",195,5,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",3,"normal",205,5,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",4,"normal",215,5,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",5,"normal",225,2,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",6,"normal",215,3,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",7,"normal",205,5,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",8,"normal",185,8,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Bench Press (Barbell)",,"",9,"normal",135,12,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Overhead Press (Dumbbell)",,"",0,"normal",60,12,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Overhead Press (Dumbbell)",,"",1,"normal",60,12,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Overhead Press (Dumbbell)",,"",2,"normal",60,12,,,
"Afternoon workout 💪","27 Mar 2026, 17:01","27 Mar 2026, 17:33","","Overhead Press (Dumbbell)",,"",3,"normal",60,12,,,
"Afternoon workout 💪","24 Mar 2026, 14:35","24 Mar 2026, 14:53","","Deadlift/Clean/Upright Row",,"",0,"normal",95,21,,,
"Afternoon workout 💪","24 Mar 2026, 14:35","24 Mar 2026, 14:53","","Deadlift/Clean/Upright Row",,"",1,"normal",95,21,,,
"Afternoon workout 💪","24 Mar 2026, 14:35","24 Mar 2026, 14:53","","Deadlift/Clean/Upright Row",,"",2,"normal",95,21,,,
"Afternoon workout 💪","24 Mar 2026, 14:35","24 Mar 2026, 14:53","","Deadlift/Clean/Upright Row",,"",3,"normal",95,21,,,
"Afternoon workout 💪","24 Mar 2026, 14:35","24 Mar 2026, 14:53","","Iso-Lateral Row (Machine)",,"",0,"normal",200,8,,,
"Afternoon workout 💪","24 Mar 2026, 14:35","24 Mar 2026, 14:53","","Iso-Lateral Row (Machine)",,"",1,"normal",200,8,,,
"Afternoon workout 💪","24 Mar 2026, 14:35","24 Mar 2026, 14:53","","Iso-Lateral Row (Machine)",,"",2,"normal",200,8,,,
"Afternoon workout 💪","24 Mar 2026, 14:35","24 Mar 2026, 14:53","","Iso-Lateral Row (Machine)",,"",3,"normal",220,8,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Bench Press (Dumbbell)",,"",0,"normal",120,12,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Bench Press (Dumbbell)",,"",1,"normal",130,8,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Bench Press (Dumbbell)",,"",2,"normal",140,8,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Bench Press (Dumbbell)",,"",3,"normal",150,8,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Bench Press (Dumbbell)",,"",4,"normal",160,8,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Lateral Raise (Dumbbell)",,"",0,"normal",30,12,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Lateral Raise (Dumbbell)",,"",1,"normal",30,12,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Lateral Raise (Dumbbell)",,"",2,"normal",30,12,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Lateral Raise (Dumbbell)",,"",3,"normal",30,12,,,
"Afternoon workout 💪","20 Mar 2026, 14:13","20 Mar 2026, 14:35","","Triceps Rope Pushdown",,"",0,"normal",50,12,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Hex Squat",,"",0,"normal",155,12,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Hex Squat",,"",1,"normal",205,8,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Hex Squat",,"",2,"normal",225,8,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Hex Squat",,"",3,"normal",225,8,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Hex Squat",,"",4,"normal",225,8,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Hex Squat",,"",5,"normal",225,8,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Hex Squat",,"",6,"normal",155,12,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Iso-Lateral High Row (Machine)",,"",0,"normal",154,10,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Iso-Lateral High Row (Machine)",,"",1,"normal",154,10,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Iso-Lateral High Row (Machine)",,"",2,"normal",174,10,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Iso-Lateral High Row (Machine)",,"",3,"normal",174,10,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Iso-Lateral High Row (Machine)",,"",4,"normal",154,10,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Lat Pulldown (Cable)",,"",0,"normal",145,8,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Lat Pulldown (Cable)",,"",1,"normal",160,8,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Lat Pulldown (Cable)",,"",2,"normal",145,8,,,
"Afternoon workout 💪","17 Mar 2026, 14:36","17 Mar 2026, 15:08","","Lat Pulldown (Cable)",,"",3,"normal",160,8,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Bench Press (Barbell)",,"",0,"normal",135,12,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Bench Press (Barbell)",,"",1,"normal",185,5,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Bench Press (Barbell)",,"",2,"normal",195,5,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Bench Press (Barbell)",,"",3,"normal",205,5,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Bench Press (Barbell)",,"",4,"normal",215,3,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Bench Press (Barbell)",,"",5,"normal",215,3,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Bench Press (Barbell)",,"",6,"normal",205,5,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Bench Press (Barbell)",,"",7,"normal",185,5,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Bench Press (Barbell)",,"",8,"normal",135,12,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Lateral Raise (Dumbbell)",,"",0,"normal",40,16,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Lateral Raise (Dumbbell)",,"",1,"normal",40,16,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Lateral Raise (Dumbbell)",,"",2,"normal",40,16,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Lateral Raise (Dumbbell)",,"",3,"normal",40,16,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Triceps Pushdown",,"",0,"normal",55,12,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Triceps Pushdown",,"",1,"normal",62,12,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Triceps Pushdown",,"",2,"normal",70,12,,,
"Afternoon workout 💪","7 Mar 2026, 14:21","7 Mar 2026, 15:01","","Triceps Pushdown",,"",3,"normal",73,12,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Hex Squat",,"",0,"normal",155,12,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Hex Squat",,"",1,"normal",205,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Hex Squat",,"",2,"normal",205,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Hex Squat",,"",3,"normal",205,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Hex Squat",,"",4,"normal",225,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Iso-Lateral High Row (Machine)",,"",0,"normal",154,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Iso-Lateral High Row (Machine)",,"",1,"normal",174,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Iso-Lateral High Row (Machine)",,"",2,"normal",174,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Iso-Lateral High Row (Machine)",,"",3,"normal",174,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Iso-Lateral High Row (Machine)",,"",4,"normal",174,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Bicep Curl (Dumbbell)",,"",0,"normal",60,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Bicep Curl (Dumbbell)",,"",1,"normal",60,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Bicep Curl (Dumbbell)",,"",2,"normal",60,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Bicep Curl (Dumbbell)",,"",3,"normal",60,8,,,
"Afternoon workout 💪","3 Mar 2026, 14:47","3 Mar 2026, 15:17","","Bicep Curl (Dumbbell)",,"",4,"normal",60,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Bench Press (Dumbbell)",0,"",0,"normal",120,12,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Bench Press (Dumbbell)",0,"",1,"normal",130,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Bench Press (Dumbbell)",0,"",2,"normal",130,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Bench Press (Dumbbell)",0,"",3,"normal",140,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Bench Press (Dumbbell)",0,"",4,"normal",140,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Shrug (Dumbbell)",0,"",0,"normal",120,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Shrug (Dumbbell)",0,"",1,"normal",130,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Shrug (Dumbbell)",0,"",2,"normal",130,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Shrug (Dumbbell)",0,"",3,"normal",140,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Shrug (Dumbbell)",0,"",4,"normal",140,8,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Triceps Pushdown",,"",0,"normal",60,12,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Triceps Pushdown",,"",1,"normal",65,12,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Triceps Pushdown",,"",2,"normal",70,12,,,
"Morning workout ☀️","1 Mar 2026, 11:19","1 Mar 2026, 11:42","","Triceps Pushdown",,"",3,"normal",75,12,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Goblet Squat",,"",0,"normal",52.5,12,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Goblet Squat",,"",1,"normal",52.5,12,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Goblet Squat",,"",2,"normal",52.5,12,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Goblet Squat",,"",3,"normal",52.5,12,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Walking Lunge",,"",0,"normal",,10,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Walking Lunge",,"",1,"normal",,10,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Walking Lunge",,"",2,"normal",,10,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Walking Lunge",,"",3,"normal",,10,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Squat Row",,"",0,"normal",,15,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Squat Row",,"",1,"normal",,15,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Squat Row",,"",2,"normal",,15,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Squat Row",,"",3,"normal",,15,,,
"Afternoon workout 💪","24 Feb 2026, 17:31","24 Feb 2026, 17:56","","Squat Curl",,"",0,"normal",50,10,,,
